,LOC,Cyclomatic_Complexity,ast_nodes,max_depth,SSI
LOC,1.0,0.8463921680791268,0.9157758310758722,0.5502618345995566,0.9283795247751293
Cyclomatic_Complexity,0.8463921680791268,1.0,0.7978217500600955,0.5545043504215726,0.8585664335336752
ast_nodes,0.9157758310758722,0.7978217500600955,1.0,0.5746930126016605,0.9645986625454207
max_depth,0.5502618345995566,0.5545043504215726,0.5746930126016605,1.0,0.6251644320171668
SSI,0.9283795247751293,0.8585664335336752,0.9645986625454207,0.6251644320171668,1.0
